"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"500","ST",86.3,-2.44,53.24,5.5
"501","FF",97.1,-2.07,53.38,5.79
"502","FF",94.7,-2.03,53.54,5.88
"503","ST",82.3,-2.23,53.47,5.69
"504","FF",95.6,-2,53.46,5.77
"505","FF",97.9,-2.2,53.35,5.75
"506","ST",85,-2.35,53.43,5.54
"507","FF",100.3,-2.18,53.64,5.64
"508","FF",98.4,-2.22,53.54,5.73
"509","FF",96.3,-2.14,53.68,5.77
"510","FF",97.6,-2.15,53.49,5.66
"511","FF",96.7,-2.06,53.37,5.75
"512","ST",81.3,-2.38,53.46,5.59
"513","FF",98.9,-2.29,53.45,5.7
"514","FF",99.3,-2.1,53.42,5.77
"515","FF",95.6,-1.94,53.52,5.76
"516","FF",97.4,-2,53.49,5.87
"517","FF",98.5,-1.95,53.57,5.88
"518","FF",94,-1.85,53.45,5.87
"519","FF",97.5,-1.97,53.46,5.57
"520","FF",96.6,-2.06,53.43,5.7
"521","FF",96.1,-2.02,53.47,5.72
"522","ST",84.4,-2.38,53.34,5.52
"523","FF",97.4,-1.93,53.34,5.74
"524","ST",84.8,-2.33,53.35,5.49
"525","FF",95.8,-2.28,53.69,5.64
"526","ST",79.2,-2.45,54.14,5.57
"527","FF",96.7,-2.25,53.64,5.6
"528","ST",76.8,-2.32,54.38,5.75
"529","FF",95.1,-2.4,53.37,5.57
"530","ST",86.5,-2.53,53.53,5.47
"531","FF",97.3,-2.12,53.7,5.68
"532","FF",97.5,-2.2,53.52,5.65
"533","ST",84.7,-2.4,53.18,5.44
"534","FF",95.2,-2.27,53.62,5.6
"535","ST",83.2,-2.54,53.93,5.54
"536","FF",97.1,-2.12,53.61,5.7
"537","FF",99.2,-2.1,53.81,5.76
"538","ST",86.5,-2.41,53.88,5.56
"539","FF",96.5,-1.97,53.66,5.8
"540","FF",94.5,-1.92,53.29,5.85
"541","ST",86.9,-2.67,53.5,5.4
"542","FF",96.8,-2.45,53.31,5.57
"543","ST",81.9,-2.39,53.42,5.53
"544","ST",88,-2.57,53.51,5.47
"545","ST",80.7,-2.37,53.89,5.64
"546","ST",83.7,-2.61,53.73,5.49
"547","ST",86.3,-2.53,53.7,5.54
"548","FF",97.7,-2.53,53.99,5.59
"549","FF",96.7,-2.21,53.71,5.66
"550","ST",82.1,-2.4,53.3,5.64
"551","FF",97.6,-2.18,53.5,5.64
"552","FF",99.6,-2.3,53.59,5.53
"553","FF",99,-2.22,53.61,5.75
"554","FF",98.6,-2.17,53.23,5.74
"555","ST",84.3,-2.65,52.93,5.5
"556","FF",97.6,-2.44,53.51,5.6
"557","ST",86.7,-2.45,53.25,5.48
"558","FF",97.7,-2.13,53.53,5.64
"559","FF",97.1,-2.17,53.26,5.57
"560","ST",84,-2.34,53.97,5.57
"561","FF",98.6,-2.21,53.69,5.6
"562","ST",86.6,-2.54,53.65,5.43
"563","FF",99.2,-2.11,53.72,5.76
"564","ST",84.2,-2.31,53.74,5.59
"565","ST",83.8,-2.38,53.57,5.65
"566","FF",98.4,-2.19,53.71,5.7
"567","ST",83.9,-2.25,53.15,5.63
"568","FF",98.4,-2.14,53.59,5.73
"569","FF",97.9,-2.24,53.67,5.62
"570","ST",84.5,-2.61,53.33,5.58
"571","ST",83.6,-2.46,53.17,5.56
"572","FF",98.5,-2.1,53.31,5.65
"573","FF",95.7,-2.19,53.69,5.8
"574","ST",83.7,-2.59,53.64,5.55
"575","FF",97.9,-2.27,53.79,5.63
"576","FF",99.5,-2.2,53.75,5.66
"577","FF",99.6,-2.26,53.57,5.52
"578","FF",100.3,-2.25,53.55,5.63
"579","ST",85.5,-2.51,53.18,5.49
"580","FF",98.1,-2.19,53.71,5.7
"581","ST",86.6,-2.44,53.63,5.45
"582","FF",97.1,-2.32,53.7,5.53
"583","FF",97.9,-2.12,53.76,5.66
"584","ST",85.2,-2.45,53.31,5.42
"585","FF",96.6,-2.2,53.71,5.67
"586","FF",97.6,-2.25,53.74,5.69
"587","ST",84.7,-2.42,53.34,5.55
"588","FF",98.9,-2.2,53.58,5.79
"589","FF",98,-2.11,53.58,5.69
